Mã đơn hàng,Siêu thị,order_date,order_hour,total_process_time,fee_ratio,profit
17/43783-17/43782,CM Rạch Miễu,2023-03-03,13,620.5,0.01251858227055786,1262100.0
5/33230,CM Rạch Miễu,2023-03-01,10,1897.0,0.049586776859504134,230000.0
7191/12,CM Rạch Miễu,2023-03-03,16,1303.5666666666666,0.005305958126704953,1499739.0
10/00313,CM Rạch Miễu,2023-03-01,13,2906.2,0.008449418961622738,1408216.0
16/62623,CM Rạch Miễu,2023-03-01,13,2857.15,0.02563445270443476,760200.0
14/86658,CM Rạch Miễu,2023-03-01,13,2856.9,0.008176836351352525,1940747.0
19/89640,CM Rạch Miễu,2023-03-01,13,2856.65,0.007101011894194923,1118600.0
19/89632,CM Rạch Miễu,2023-03-01,13,2856.4166666666665,0.011267605633802818,702000.0
9/32166,CM Rạch Miễu,2023-03-01,13,2856.0333333333333,0.024638127502309825,316700.0
9/32167,CM Rạch Miễu,2023-03-01,13,2855.8,0.007658433850277618,1036600.0
10/00254,CM Rạch Miễu,2023-03-01,10,406.48333333333335,0.03470715835140998,222500.0
90787/4,CM Hùng Vương,2023-03-02,14,253.36666666666667,0.24099611728477707,425175.0
18824/1,CM Hùng Vương,2023-03-02,13,102.95,0.6716417910447762,11000.0
30095/3,CM Hùng Vương,2023-03-03,12,1462.35,0.015652097694132967,471669.0
30075/3,CM Hùng Vương,2023-03-03,12,1226.0166666666667,0.013066202090592335,566500.0
30090/3,CM Hùng Vương,2023-03-03,12,1226.5166666666667,0.013928869904355093,530950.0
30088/3,CM Hùng Vương,2023-03-03,12,1228.6666666666667,0.01589107620724506,928926.0
17933/1,CM Hùng Vương,2023-03-02,14,2541.133333333333,0.0,135000.0
17929/1,CM Hùng Vương,2023-03-02,14,2541.0,0.008593033913840514,8653000.0
17924/1,CM Hùng Vương,2023-03-02,14,2542.016666666667,0.019240636223704463,1911500.0
90691/4,CM Hùng Vương,2023-03-02,14,2542.1833333333334,0.0,506000.0
90679/4,CM Hùng Vương,2023-03-02,14,2545.266666666667,0.0,740940.0
90681/4,CM Hùng Vương,2023-03-02,14,2546.2,0.0,3683800.0
90680/4,CM Hùng Vương,2023-03-02,14,2545.95,0.06829046209879354,818600.0
90781/4,CM Hùng Vương,2023-03-02,14,2554.766666666667,0.009035567608333444,4935318.0
90722/4,CM Hùng Vương,2023-03-02,14,2555.616666666667,0.010454892366883083,4259205.0
18797/1,CM Hùng Vương,2023-03-02,13,2591.9666666666667,0.009916874553740644,2246360.0
18720/1,CM Hùng Vương,2023-03-02,13,2591.8,0.015306122448979591,1447500.0
91193/4,CM Hùng Vương,2023-03-02,12,2642.766666666667,0.008903133903133903,834900.0
91211/4,CM Hùng Vương,2023-03-02,12,2642.616666666667,0.018735128991363106,785635.0
91202/4,CM Hùng Vương,2023-03-02,12,2642.483333333333,0.01478901984292089,499633.0
91210/4,CM Hùng Vương,2023-03-02,12,2642.366666666667,0.012656091798852515,585100.0
18705/1,CM Hùng Vương,2023-03-02,9,2825.5833333333335,0.006360513929525506,3514950.0
76150-76151-76149/11,CM Nguyễn Ảnh Thủ,2023-03-03,20,1009.4833333333333,0.009864973179604167,3211800.0
68407/8-1,CM Nguyễn Ảnh Thủ,2023-03-03,19,1128.6,0.014666666666666666,5912000.0
41730/7,CM Nguyễn Ảnh Thủ,2023-03-03,19,1052.8166666666666,0.022265516281658782,351300.0
1309/24,CM Nguyễn Ảnh Thủ,2023-03-03,19,2842.1666666666665,0.03970223325062035,387000.0
76095/11+11285/24,CM Nguyễn Ảnh Thủ,2023-03-03,18,930.9166666666666,0.015795932349970728,996919.0
72310/12,CM Nguyễn Ảnh Thủ,2023-03-03,17,888.1666666666666,0.010171646535282899,1557000.0
1266/24-69137/8,CM Nguyễn Ảnh Thủ,2023-03-03,16,971.3833333333333,0.008228336333247621,3857000.0
69140/8-2,CM Nguyễn Ảnh Thủ,2023-03-03,16,994.7333333333333,0.014545454545454545,1084000.0
69092/8,CM Nguyễn Ảnh Thủ,2023-03-03,14,1025.8333333333333,0.0239880059970015,651000.0
65879/13,CM Nguyễn Ảnh Thủ,2023-03-03,11,374.1666666666667,0.032881216605014384,470600.0
10526/4,CM Nguyễn Ảnh Thủ,2023-03-03,9,1342.1666666666667,0.007694092499822675,4127035.0
69013/8,CM Nguyễn Ảnh Thủ,2023-03-03,9,573.3,0.010830891869791017,2191884.0
65828/13,CM Nguyễn Ảnh Thủ,2023-03-03,9,589.2333333333333,0.008284146215180697,1915400.0
41616/7,CM Nguyễn Ảnh Thủ,2023-03-02,20,1022.6833333333333,0.013390241861243619,3536700.0
49367/14,CM Nguyễn Ảnh Thủ,2023-03-02,20,1350.5,0.010778039744021556,1468500.0
68916/8+68917/8,CM Nguyễn Ảnh Thủ,2023-03-02,19,943.1666666666666,0.018785957496771165,835700.0
66625/8-1,CM Nguyễn Ảnh Thủ,2023-03-02,17,1334.8833333333334,0.007069408740359897,12360000.0
68891/8,CM Nguyễn Ảnh Thủ,2023-03-02,17,1227.4666666666667,0.01075413362011023,4415400.0
10479/4,CM Nguyễn Ảnh Thủ,2023-03-02,17,991.25,0.013210039630118891,1792800.0
10478/4+10477/4,CM Nguyễn Ảnh Thủ,2023-03-02,17,994.5,0.016016016016016016,1474500.0
68882/8,CM Nguyễn Ảnh Thủ,2023-03-02,17,916.3666666666667,0.005531164655857849,2876700.0
19393/10+19394/10-2,CM Nguyễn Ảnh Thủ,2023-03-02,16,1046.6166666666666,0.002909090909090909,16452000.0
66624/8-2,CM Nguyễn Ảnh Thủ,2023-03-01,17,1014.8666666666667,0.013333333333333334,5920000.0
64582/13,CM Nguyễn Ảnh Thủ,2023-03-01,16,962.5166666666667,0.04040404040404041,380000.0
75348/11,CM Nguyễn Ảnh Thủ,2023-03-01,8,552.05,0.007517030772844727,4225000.0
2/1,CM Nguyễn Ảnh Thủ,2023-03-02,9,16113.933333333332,0.008,6944000.0
10587/4,CM Nguyễn Ảnh Thủ,2023-03-03,20,705.0333333333333,0.010417127841597155,1519932.0
68407/8-2,CM Nguyễn Ảnh Thủ,2023-03-03,19,1129.7,0.013647642679900745,6360000.0
69212/8,CM Nguyễn Ảnh Thủ,2023-03-03,19,763.6166666666667,0.00883733775200221,1794500.0
69200/8-69197/8,CM Nguyễn Ảnh Thủ,2023-03-03,19,751.7166666666667,0.008159685036157605,3889720.0
10576/4,CM Nguyễn Ảnh Thủ,2023-03-03,18,786.0333333333333,0.01935405830410064,810700.0
69150/8,CM Nguyễn Ảnh Thủ,2023-03-03,17,911.45,0.04208311415044713,364200.0
69154/8,CM Nguyễn Ảnh Thủ,2023-03-03,17,864.0333333333333,0.010460203176371446,1513607.0
76082/11,CM Nguyễn Ảnh Thủ,2023-03-03,17,864.25,0.008406690464606258,1887246.0
10566/4,CM Nguyễn Ảnh Thủ,2023-03-03,17,909.6,0.008838955338600123,2691253.0
69140/8-1,CM Nguyễn Ảnh Thủ,2023-03-03,16,994.0,0.016,984000.0
66625/8-2,CM Nguyễn Ảnh Thủ,2023-03-02,17,1328.8833333333334,0.006426735218508998,12368000.0
49250/14,CM Nguyễn Ảnh Thủ,2023-03-01,21,1177.8833333333334,0.007834937455163346,2026135.0
66624/8-1,CM Nguyễn Ảnh Thủ,2023-03-01,17,1041.5333333333333,0.013333333333333334,5920000.0
33816/2,CM Hậu Giang,2023-03-03,21,1180.3166666666666,0.018441678192715538,425800.0
63239/14,CM Hậu Giang,2023-03-03,20,1207.6333333333334,0.008386623335779431,945900.0
63312/14,CM Hậu Giang,2023-03-03,20,1207.3666666666666,0.00846620572879921,1405400.0
90519/5,CM Hậu Giang,2023-03-03,20,1207.2,0.007362143856290952,2696600.0
12580/1,CM Hậu Giang,2023-03-03,20,1207.05,0.007339463008189006,1081998.0
12601/1,CM Hậu Giang,2023-03-03,20,1206.8833333333334,0.009733149484954172,1220900.0
08681/3,CM Hậu Giang,2023-03-03,20,1206.7166666666667,0.007114905727499111,1116400.0
08703/3,CM Hậu Giang,2023-03-03,20,1206.4,0.008785416209092905,902600.0
90493/5,CM Hậu Giang,2023-03-03,20,1206.5666666666666,0.00641025641025641,1240000.0
33813/2,CM Hậu Giang,2023-03-03,20,1207.65,0.0,388000.0
12619/1,CM Hậu Giang,2023-03-03,20,1207.4666666666667,0.025686305988120082,606900.0
giao bo sung,CM Phú Thọ,2023-03-03,14,61.55,15000.0,-14999.0
61451/6,CM Phú Thọ,2023-03-02,19,1129.05,0.0,1149300.0
giao hd,CM Phú Thọ,2023-03-02,14,39.61666666666667,15000.0,-14999.0
lay da,CM Phú Thọ,2023-03-02,7,50.55,30000.0,-29999.0
6/1504,CM Phú Thọ,2023-03-03,8,355.3333333333333,0.156794425087108,242000.0
61235/6,CM Phú Thọ,2023-03-02,7,1367.1333333333334,0.013977230160253602,1058174.0
61237/6,CM Phú Thọ,2023-03-02,7,1370.0666666666666,0.01034195323644532,2870806.0
83522/2,CM Phú Thọ,2023-03-01,15,903.2666666666667,0.02091466815393196,351100.0
12345/6,CM Phú Thọ,2023-03-01,9,308.6,0.15,170000.0
60985/6,CM Phú Thọ,2023-03-01,7,375.9,0.0375,192500.0
giao bo sung,CM Phú Thọ,2023-03-02,7,142.25,7500.0,-7499.0
36962-36961/12,CM Nguyễn Đình Chiểu,2023-03-03,20,755.85,0.018604651162790697,844000.0
83546/2,CM Nguyễn Đình Chiểu,2023-03-02,12,1436.2833333333333,0.015490456910389644,508447.0
65602/10,CM Nguyễn Đình Chiểu,2023-03-02,12,1434.9666666666667,0.01233996606509332,1920900.0
99161/4,CM Nguyễn Đình Chiểu,2023-03-02,10,1522.4166666666667,0.012244897959183673,1936000.0
65671/10,CM Nguyễn Đình Chiểu,2023-03-02,18,881.7666666666667,0.012123967568386754,1303700.0
97911/5,CM Phan Văn Hớn,2023-03-03,15,975.05,0.0334075723830735,217000.0
37199/14,CM Phan Văn Hớn,2023-03-03,15,974.9333333333333,0.01405152224824356,2105000.0
1/1,CM Phan Văn Hớn,2023-03-01,10,354.95,15000.0,-14999.0
87021/7,CM Phan Văn Hớn,2023-03-01,8,469.8833333333333,0.034722222222222224,208500.0
62811/11,CM Phan Văn Hớn,2023-03-01,8,469.6,0.0635593220338983,221000.0
62825/11,CM Phan Văn Hớn,2023-03-01,7,522.45,0.03957365977205572,728080.0
74118/6,CM Huỳnh Tấn Phát,2023-03-01,14,40.3,0.3292181069958848,16300.0
10279/4,CM Huỳnh Tấn Phát,2023-03-01,17,31.783333333333335,11.331444759206798,-7294.0
7777,CM Huỳnh Tấn Phát,2023-03-01,10,73.58333333333333,16000.0,-15999.0
25294/9,CM Phan Văn Trị,2023-03-03,14,1072.6166666666666,0.17273032354857176,167628.0
61474/1,CM Phan Văn Trị,2023-03-02,14,1079.1166666666666,0.257985257985258,60400.0
82522/25,CM Phan Văn Trị,2023-03-01,20,643.2166666666667,0.14181523500810372,211800.0
52694/1,CM Củ Chi,2023-03-02,7,5007.35,0.014138748981738175,906459.0
54268/10,CM Hòa Bình,2023-03-03,10,15.7,0.6710526315789473,25000.0
54161/10,CM Hòa Bình,2023-03-02,13,16.716666666666665,0.6967784244610215,7398.0
84347/21,CX Linh Trung,2023-03-03,12,1168.4666666666667,0.012153569025761226,4551700.0
"47285/15, 1464/5",CX Linh Trung,2023-03-03,12,1167.9666666666667,0.021317037642335637,1101860.0
LẤY ĐỒ CHO KẾ TOÁN,CX Linh Trung,2023-03-03,11,1268.95,0.032,484000.0
83868/21,CX Linh Trung,2023-03-01,12,519.15,0.0375234521575985,1026000.0
83865/21,CX Linh Trung,2023-03-01,12,521.35,0.034334763948497854,225000.0
51838/17,CX Linh Trung,2023-03-01,12,520.7,0.022875116162699265,1366900.0
72033/20,CX Linh Trung,2023-03-01,17,199.81666666666666,0.425208807896735,75700.0
03036/16,CX Sư Vạn Hạnh,2023-03-03,7,520.5,0.027530828792658446,1695500.0
3036/16,CX Sư Vạn Hạnh,2023-03-03,7,520.7333333333333,0.027530828792658446,1695500.0
59611/11,CX Sư Vạn Hạnh,2023-03-03,7,542.1666666666666,0.024524831391784182,318200.0
90411/14,CX Sư Vạn Hạnh,2023-03-03,7,542.6833333333333,0.033119436969571515,467100.0
75030/15,CX Sư Vạn Hạnh,2023-03-01,7,556.5833333333334,0.006504588580706902,2443802.0
92043/18,CX Sư Vạn Hạnh,2023-03-01,7,556.8166666666667,0.00524545620552222,3034259.0
49017/9,CX Sư Vạn Hạnh,2023-03-01,7,557.2166666666667,0.02134756504336224,1467000.0
2387/16,CX Sư Vạn Hạnh,2023-03-01,7,557.0333333333333,0.006247403422952336,2545064.0
41360/38,CM Lý Thường Kiệt,2023-03-03,18,920.7833333333333,0.019801980198019802,495000.0
64871/4,CM Văn Thánh,2023-03-03,15,65.6,0.7894736842105263,6000.0
