Mã đơn hàng,Ngày tạo đơn,order_date,order_hour,order_weekday,Siêu thị,Số chuyến,Giá trị đơn hàng,Tổng phí trả tài xế,profit,fee_ratio,total_process_time,delay_assign,delay_arrive_store,delay_pickup,multi_trip,is_completed,sla_30m,delivery_speed_cat
43906/17,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,805000,8000.0,797000.0,0.009937888198757764,105.7,0.21666666666666667,35.61666666666667,0.0,0,1,0,slow
95495/6,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,11966770,20000.0,11946770.0,0.0016712947604073615,114.28333333333333,6.683333333333334,37.666666666666664,0.0,0,1,0,slow
96241/8,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,2243384,16000.0,2227384.0,0.007132082603780717,35.483333333333334,6.7,0.9166666666666666,0.0,0,1,0,normal
95498/6,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,311200,8000.0,303200.0,0.02570694087403599,114.01666666666667,6.733333333333333,37.416666666666664,0.0,0,1,0,slow
7252/12,2023-03-03,2023-03-03,18,Friday,CM Rạch Miễu,1,938000,8000.0,930000.0,0.008528784648187633,35.916666666666664,6.75,1.7333333333333334,0.0,0,1,0,normal
87199/14,2023-03-03,2023-03-03,17,Friday,CM Rạch Miễu,1,637600,8000.0,629600.0,0.012547051442910916,74.86666666666666,1.0833333333333333,25.433333333333334,0.0,0,1,0,slow
96204/8,2023-03-03,2023-03-03,16,Friday,CM Rạch Miễu,1,628700,8000.0,620700.0,0.012724669953873072,147.55,0.4,99.11666666666666,0.0,0,1,0,slow
"71961/20, 96195/8",2023-03-03,2023-03-03,16,Friday,CM Rạch Miễu,1,1483800,12000.0,1471800.0,0.008087343307723413,146.73333333333332,0.4166666666666667,98.73333333333333,0.0,0,1,0,slow
87165/14,2023-03-03,2023-03-03,16,Friday,CM Rạch Miễu,1,372800,8000.0,364800.0,0.02145922746781116,147.08333333333334,0.43333333333333335,98.38333333333334,0.0,0,1,0,slow
"43749/17, 43864/17",2023-03-03,2023-03-03,16,Friday,CM Rạch Miễu,1,338000,8000.0,330000.0,0.023668639053254437,144.88333333333333,0.45,46.2,0.0,0,1,0,slow
