Siêu thị,cluster
CM Bình Triệu,2
CM Bình Tân,1
CM Bình Tân 2,2
CM Chu Văn An,2
CM Cần Giờ,2
CM Củ Chi,2
CM Foodcosa,2
CM Hiệp Thành,2
CM Huỳnh Tấn Phát,1
CM Hòa Bình,1
CM Hóc Môn,2
CM Hùng Vương,0
CM Hậu Giang,1
CM Lý Thường Kiệt,1
CM Nguyễn Bình,2
CM Nguyễn Đình Chiểu,1
CM Nguyễn Ảnh Thủ,0
CM Nhiêu Lộc,1
CM Phan Văn Hớn,1
CM Phan Văn Trị,0
CM Phú Thọ,1
CM Rạch Miễu,1
CM Thắng Lợi - Trường Chinh,1
CM Tuy Lý Vương,1
CM Văn Thánh,1
CM Vĩnh Lộc B,0
CM Đồng Văn Cống,2
CM Đỗ Văn Dậy,2
CX Linh Trung,1
CX Sư Vạn Hạnh,1
